Order_ID,date_time,total_count_product_a,total_count_product_b,total_count_product_c,total_items
1,23/4/2026 09:15,1,0,0,1
2,23/4/2026 09:35,0,1,1,2
3,23/4/2026 09:43,1,0,0,1
4,23/4/2026 10:38,1,0,0,1
5,23/4/2026 10:40,2,0,0,2
6,23/4/2026 10:46,2,0,0,2
7,23/4/2026 11:07,1,0,0,1
8,23/4/2026 13:21,0,0,1,1
9,23/4/2026 14:12,2,1,0,3
10,23/4/2026 14:13,1,2,0,3
11,23/4/2026 14:23,0,2,0,2
12,23/4/2026 15:26,1,0,0,1
13,23/4/2026 16:14,1,0,0,1
14,23/4/2026 17:00,0,1,0,1
15,23/4/2026 17:04,0,1,1,2
16,23/4/2026 17:44,0,1,0,1
17,23/4/2026 18:56,0,0,1,1
18,23/4/2026 19:02,1,1,0,2
19,23/4/2026 19:14,0,2,0,2
20,23/4/2026 19:39,0,0,0,0
21,23/4/2026 19:51,0,0,1,1
22,23/4/2026 20:34,0,0,1,1
23,23/4/2026 20:43,0,0,1,1
24,24/4/2026 09:16,1,1,0,2
25,24/4/2026 09:33,1,0,0,1
26,24/4/2026 10:14,0,0,1,1
27,24/4/2026 10:16,1,1,0,2
28,24/4/2026 10:20,1,1,0,2
29,24/4/2026 10:35,1,1,1,3
30,24/4/2026 10:43,0,2,0,2
31,24/4/2026 11:09,0,1,0,1
32,24/4/2026 11:38,0,0,2,2
33,24/4/2026 11:47,0,1,1,2
34,24/4/2026 11:50,0,1,1,2
35,24/4/2026 11:55,0,1,2,3
36,24/4/2026 11:58,0,1,1,2
37,24/4/2026 12:42,0,1,0,1
38,24/4/2026 13:37,1,0,0,1
39,24/4/2026 13:40,1,0,0,1
40,24/4/2026 14:26,1,2,1,4
41,24/4/2026 14:34,1,0,0,1
42,24/4/2026 15:16,1,0,1,2
43,24/4/2026 15:58,1,2,0,3
44,24/4/2026 17:51,1,1,0,2
45,24/4/2026 18:16,0,2,0,2
46,24/4/2026 18:25,0,0,1,1
47,24/4/2026 18:37,0,0,0,0
48,24/4/2026 19:07,1,0,1,2
49,24/4/2026 19:12,0,2,0,2
50,24/4/2026 19:27,0,1,1,2
51,24/4/2026 19:30,0,1,2,3
52,24/4/2026 19:52,1,0,0,1
53,24/4/2026 20:08,1,2,0,3
54,24/4/2026 20:27,1,2,0,3
55,24/4/2026 20:51,1,0,0,1
56,24/4/2026 20:57,0,0,1,1
57,25/4/2026 10:06,0,1,0,1
58,25/4/2026 10:07,0,0,0,0
59,25/4/2026 11:15,0,0,1,1
60,25/4/2026 12:05,0,1,1,2
61,25/4/2026 12:19,1,0,0,1
62,25/4/2026 12:26,0,1,1,2
63,25/4/2026 12:46,0,1,0,1
64,25/4/2026 13:48,1,0,0,1
65,25/4/2026 15:31,1,1,0,2
66,25/4/2026 16:17,1,0,0,1
67,25/4/2026 17:09,1,1,1,3
68,25/4/2026 17:33,0,1,0,1
69,25/4/2026 19:28,0,0,0,0
70,25/4/2026 20:03,0,1,0,1
71,4/26/2026 8:45,1,0,0,1
72,4/26/2026 9:32,0,1,0,1
73,4/26/2026 10:36,1,1,0,2
74,4/26/2026 12:14,0,0,1,1
75,4/26/2026 13:42,1,0,0,1
76,4/26/2026 14:28,0,1,0,1
77,4/26/2026 15:44,0,0,1,1
78,4/26/2026 17:20,1,1,0,2
79,4/26/2026 18:58,0,1,0,1
80,4/26/2026 20:04,1,0,1,2
81,4/26/2026 21:04,0,0,1,1
82,4/27/2026 8:30,0,1,1,2
83,4/27/2026 9:34,1,0,0,1
84,4/27/2026 10:28,0,1,0,1
85,4/27/2026 12:10,1,0,0,1
86,4/27/2026 13:26,0,0,1,1
87,4/27/2026 14:40,1,1,0,2
88,4/27/2026 15:50,0,1,0,1
89,4/27/2026 17:22,1,0,0,1
90,4/27/2026 18:34,0,1,0,1
91,4/27/2026 19:38,0,0,1,1
92,4/27/2026 20:42,1,0,0,1
93,4/27/2026 21:40,0,1,0,1
94,4/28/2026 8:18,1,0,1,2
95,4/28/2026 9:34,0,1,0,1
96,4/28/2026 10:52,1,1,0,2
97,4/28/2026 12:10,0,0,1,1
98,4/28/2026 13:26,1,0,0,1
99,4/28/2026 14:38,0,1,1,2
100,4/28/2026 15:54,1,0,0,1
101,4/28/2026 17:10,0,1,0,1
102,4/28/2026 18:26,1,0,1,2
103,4/28/2026 19:38,0,0,1,1
104,4/28/2026 20:46,1,1,0,2
105,4/28/2026 21:48,0,1,0,1
106,4/29/2026 9:38,0,0,1,1
107,4/29/2026 12:30,1,0,0,1
108,4/29/2026 15:34,0,1,0,1
109,4/29/2026 18:06,1,0,0,1
110,4/29/2026 20:42,0,0,1,1
111,4/30/2026 8:40,1,1,0,2
112,4/30/2026 10:44,0,0,1,1
113,4/30/2026 12:48,1,0,1,2
114,4/30/2026 14:52,0,1,0,1
115,4/30/2026 16:56,1,0,0,1
116,4/30/2026 19:00,0,1,1,2
117,4/30/2026 20:30,1,0,0,1
118,4/30/2026 21:50,0,0,1,1
119,5/1/2026 8:50,1,1,0,2
120,5/1/2026 10:18,0,0,1,1
121,5/1/2026 12:02,1,0,0,1
122,5/1/2026 13:46,0,1,0,1
123,5/1/2026 15:30,1,0,1,2
124,5/1/2026 17:14,0,1,0,1
125,5/1/2026 18:58,1,0,0,1
126,5/1/2026 20:14,0,0,1,1
127,5/1/2026 21:30,1,1,0,2
128,5/1/2026 22:42,0,1,0,1
129,5/2/2026 8:22,1,0,0,1
130,5/2/2026 9:42,0,1,1,2
131,5/2/2026 11:22,1,0,0,1
132,5/2/2026 13:02,0,1,0,1
133,5/2/2026 14:42,1,0,1,2
134,5/2/2026 16:22,0,0,1,1
135,5/2/2026 18:02,1,1,0,2
136,5/2/2026 19:42,0,1,0,1
137,5/2/2026 21:22,1,0,1,2
138,5/2/2026 22:34,0,1,0,1
139,5/2/2026 23:40,1,0,0,1
140,5/3/2026 8:14,1,1,0,2
141,5/3/2026 9:38,0,0,1,1
142,5/3/2026 11:18,1,0,0,1
143,5/3/2026 12:58,0,1,1,2
144,5/3/2026 14:38,1,0,0,1
145,5/3/2026 16:18,0,1,0,1
146,5/3/2026 17:58,1,0,1,2
147,5/3/2026 19:38,0,0,1,1
148,5/3/2026 21:18,1,1,0,2
149,5/3/2026 22:30,0,1,1,2
150,5/3/2026 23:38,1,0,0,1
151,5/4/2026 0:26,0,1,0,1
152,5/4/2026 1:38,1,0,1,2
153,5/4/2026 8:14,0,1,0,1
154,5/4/2026 9:38,1,0,0,1
155,5/4/2026 11:18,0,1,1,2
156,5/4/2026 12:58,1,0,0,1
157,5/4/2026 14:38,0,0,1,1
158,5/4/2026 16:18,1,1,0,2
159,5/4/2026 17:58,0,1,0,1
160,5/4/2026 19:38,1,0,1,2
161,5/4/2026 21:18,0,1,0,1
162,5/4/2026 22:30,1,0,0,1
163,5/4/2026 23:38,0,0,1,1
164,5/5/2026 0:50,1,1,0,2
165,5/5/2026 2:02,0,1,0,1
166,5/5/2026 8:38,1,0,0,1
167,5/5/2026 10:18,0,1,1,2
168,5/5/2026 12:14,1,0,0,1
169,5/5/2026 14:10,0,0,1,1
170,5/5/2026 16:06,1,1,0,2
171,5/5/2026 18:02,0,1,0,1
172,5/5/2026 19:58,1,0,1,2
173,5/5/2026 21:54,0,1,0,1
174,5/5/2026 23:06,1,0,0,1
175,5/5/2026 23:58,0,0,1,1
176,5/6/2026 9:42,1,1,0,2
177,5/6/2026 12:48,0,0,1,1
178,5/6/2026 15:54,1,0,0,1
179,5/6/2026 19:00,0,1,0,1
180,5/6/2026 22:06,0,0,1,1
181,5/7/2026 8:54,1,1,0,2
182,5/7/2026 11:00,0,0,1,1
183,5/7/2026 13:06,1,0,0,1
184,5/7/2026 15:12,0,1,1,2
185,5/7/2026 17:18,1,0,0,1
186,5/7/2026 19:24,0,1,0,1
187,5/7/2026 21:30,1,0,1,2
188,5/7/2026 23:36,0,1,0,1
189,5/8/2026 8:38,1,0,0,1
190,5/8/2026 10:38,0,1,1,2
191,5/8/2026 12:38,1,0,0,1
192,5/8/2026 14:38,0,1,0,1
193,5/8/2026 16:38,1,0,1,2
194,5/8/2026 18:38,0,0,1,1
195,5/8/2026 20:38,1,1,0,2
196,5/8/2026 22:38,0,1,0,1
197,5/9/2026 0:38,1,0,1,2
198,5/9/2026 2:38,0,1,0,1
199,5/9/2026 4:38,1,0,0,1
200,5/9/2026 8:30,0,0,1,1
201,5/10/2026 8:02,1,1,0,2
202,5/10/2026 9:22,0,0,1,1
203,5/10/2026 10:42,1,0,0,1
204,5/10/2026 12:02,0,1,1,2
205,5/10/2026 13:22,1,0,0,1
206,5/10/2026 14:42,0,1,0,1
207,5/10/2026 16:02,1,0,1,2
208,5/10/2026 17:22,0,0,1,1
209,5/10/2026 18:42,1,1,0,2
210,5/10/2026 20:02,0,1,0,1
211,5/10/2026 21:22,1,0,0,1
212,5/10/2026 22:42,0,0,1,1
213,5/10/2026 0:02,1,1,0,2
214,5/10/2026 1:22,0,1,0,1
215,5/10/2026 2:42,1,0,1,2
216,5/10/2026 4:02,0,1,0,1
217,5/10/2026 5:22,1,0,0,1
218,5/10/2026 6:42,0,0,1,1
